Localidade / Cultura,Área Plantada (hectares),Participação no DF (%),Producão (toneladas),Participação no DF (%).1,Produtores,Unnamed: 0,Unnamed: 1,Participação no ESLOC (%),Participação no DF (%),Participação no ESLOC (%),Participação no DF (%).1,Producão   (toneladas)
Distrito Federal,"2.352,97","100,00",40.209,"100,00",,,,,,,,
Subtotal,"2.099,82","89,23",38.443,"95,59",,,,,,,,
Abacate,"457,30","19,43",6.668,"16,58",818,,,,,,,
Goiaba,"433,88","18,44",7.060,"17,56",233,,,,,,,
Banana,"343,88","14,61",6.196,"15,41",1.283,,,,,,,
Limão,"270,36","11,49",6.688,"16,63",894,,,,,,,
Tangerina,"173,19","7,36",3.287,"8,17",438,,,,,,,
Maracujá,"126,83","5,39",3.929,"9,77",291,,,,,,,
Laranja,"96,24","4,09",2.100,"5,22",277,,,,,,,
Manga,"93,17","3,96",1.107,"2,75",548,,,,,,,
Uva,"72,17","3,07",1.011,"2,52",82,,,,,,,
Lichia,"32,79","1,39",396,"0,98",35,,,,,,,
Localidade / Cultura,Área Plantada (hectares),Participação no
ESLOC (%),Participação
no DF (%),Producão (toneladas),Participação
no ESLOC (%),Participação
no DF (%),Produtores,,,,,
Alexandre Gusmão,"471,47","100,00","20,04","7.809,13","100,00","19,81",,,,,,
Subtotal,"452,25","95,93",,"7.649,81","97,97",,,,,,,
Goiaba,"183,11","38,84","42,20","3.011,00","38,56","42,65",86,,,,,
Abacate,"105,54","22,38","23,08","1.405,80","18,00","21,08",105,,,,,
Tangerina,"37,13","7,88","21,44","543,20","6,96","16,53",57,,,,,
Limão,"35,56","7,54","13,15","940,00","12,04","14,05",95,,,,,
Banana,"32,67","6,93","9,50","533,66","6,83","8,61",105,,,,,
Graviola,"18,05","3,83","57,14","45,75","0,59","55,37",26,,,,,
Maracujá,"15,46","3,28","12,19","801,00","10,26","20,39",29,,,,,
Manga,"12,74","2,70","13,67","129,40","1,66","11,69",29,,,,,
Atemóia,"9,00","1,91","42,37","180,00","2,30","59,01",5,,,,,
Uva,"3,00","0,64","4,16","60,00","0,77","5,93",2,,,,,
Brazlândia,"414,07","100,00","17,60","5.769,61","100,00","14,64",,,,,,
Subtotal,"404,89","97,79",,"6.495,70","99,03",,,,,,,
Goiaba,"232,63","56,18","53,62","3.776,56","57,58","53,49",79,,,,,
Abacate,"88,93","21,48","19,45","1.220,06","18,60","18,30",135,,,,,
Limão,"25,13","6,07","9,30","622,06","9,48","9,30",86,,,,,
Tangerina,"19,78","4,78","11,42","369,40","5,63","11,24",68,,,,,
Banana,"14,94","3,61","4,35","236,79","3,61","3,82",136,,,,,
Atemóia,"11,00","2,66","51,78","110,00","1,68","36,06",5,,,,,
Maracujá,"5,00","1,21","3,94","90,28","1,38","2,30",47,,,,,
Manga,"4,10","0,99","4,40","39,64","0,60","3,58",91,,,,,
