Localidade / Cultura,Área Plantada (hectares),Participação no DF (%),Producão (toneladas),Participação no DF (%).1,Produtores,Unnamed: 0,Unnamed: 1,Participaçãono ESLOC (%),Participaçãono DF (%),Participaçãono DF (%).1,Participaçãono ESLOC (%).1
Distrito Federal,"8.917,38","100,00","267.864,00","100,00",,,,,,,
Subtotal,4.449,"49,90","184.174,07","68,76",,,,,,,
Alface,"1.278,61","14,34","21.004,62","7,84",923,,,,,,
Mandioca,"1.018,29","11,42","20.884,08","7,80",2.216,,,,,,
Tomate,"422,42","4,74","34.771,46","12,98",613,,,,,,
Repolho,"351,74","3,94","17.710,60","6,61",519,,,,,,
Batata,"324,55","3,64","8.146,65","3,04",36,,,,,,
Cebola,"318,62","3,57","28.658,72","10,70",35,,,,,,
Couve,"200,76","2,25","12.520,52","4,67",619,,,,,,
Chuchu,"185,23","2,08","20.854,70","7,79",256,,,,,,
Morango,"177,03","1,99","6.615,64","2,47",584,,,,,,
Pimentão,"172,04","1,93","13.007,08","4,86",543,,,,,,
Localidade / Cultura,Área Plantada (hectares),Participaçãono ESLOC (%),Participaçãono DF (%),Producão (toneladas),Participaçãono ESLOC (%),Participaçãono DF (%),Produtores,,,,
Alexandre Gusmão,"1.807,38","100,00","20,27","50.439,80","100,00","18,83",,,,,
Subtotal,"1.091,45","60,38",,"37.606,23","74,56",,,,,,
Alface,"310,00","17,15","24,25","4.797,50","9,51","22,84",139,,,,
Mandioca,"186,22","10,30","18,29","3.114,24","6,17","14,91",220,,,,
Brócolis - Cabeça Única,"183,85","10,17","43,95","2.571,55","5,10","40,13",155,,,,
Repolho,"86,82","4,80","24,68","4.472,60","8,87","25,25",58,,,,
Couve,"71,59","3,96","35,66","4.735,00","9,39","37,82",112,,,,
Cebolinha,"63,80","3,53","37,10","1.395,42","2,77","37,18",110,,,,
Tomate,"61,74","3,42","14,62","5.886,70","11,67","16,93",74,,,,
Chuchu,"61,10","3,38","32,99","7.326,00","14,52","35,13",64,,,,
Brócolis - Ramoso,"41,00","2,27","26,17","1.223,40","2,43","26,19",53,,,,
Pimentão,"25,33","1,40","14,73","2.083,82","4,13","16,02",65,,,,
Brazlândia,"1.078,68","100,00","12,1","29.813,72","100,00","11,13",,,,,
Subtotal,"671,76","62,27",,"23.065,18","77,35",,,,,,
Morango,"135,45","12,56","76,51","5.174,62","17,36","78,22",435,,,,
Alface,"113,43","10,52","8,87","1.775,39","5,95","8,45",116,,,,
Repolho,"82,75","7,67","23,53","3.160,88","10,60","17,85",146,,,,
Abóbora italiana,"72,32","6,70","29,86","1.001,40","3,36","27,82",205,,,,
Mandioca,"70,11","6,50","6,88","1.215,60","4,08","5,82",209,,,,
Brócolis - Cabeça Única,"63,50","5,89","15,18","942,34","3,16","14,71",205,,,,
Chuchu,"51,34","4,76","27,72","3.903,80","13,09","18,72",85,,,,
Tomate,"36,60","3,39","8,66","3.080,62","10,33","8,86",109,,,,
Pimentão,"27,33","2,53","15,89","1.843,78","6,18","14,18",74,,,,
Couve,"18,93","1,75","9,43","966,75","3,24","7,72",73,,,,
Ceilândia,"1.503,52","100,00","16,86","42.880,08","100,00","16,01",,,,,
Subtotal,"988,80","65,76",,"31.667,15","73,87",,,,,,
Alface,"308,10","20,49","24,10","5.161,75","12,04","24,57",154,,,,
Mandioca,"165,30","10,99","16,23","4.065,00","9,48","19,46",338,,,,
Milho-verde,"120,50","8,01","19,08","1.203,00","2,81","22,99",89,,,,
Brócolis - Cabeça Única,"100,31","6,67","23,98","1.804,60","4,21","28,16",71,,,,
Repolho,"62,70","4,17","17,83","3.750,00","8,75","21,17",52,,,,
Brócolis - Ramoso,"62,10","4,13","39,63","1.862,80","4,34","39,87",76,,,,
Batata-doce,"56,80","3,78","28,03","1.593,00","3,72","35,00",31,,,,
Chuchu,"54,02","3,59","29,16","7.562,00","17,64","36,26",48,,,,
Couve,"45,35","3,02","22,59","3.179,00","7,41","25,39",89,,,,
Tomate,"13,62","0,91","3,22","1.486,00","3,47","4,27",34,,,,
Gama,"677,42","100,00","7,6","13.298,57","100,00","4,96",,,,,
Subtotal,"557,31","82,27",,"10.624,62","79,90",,,,,,
Alface,"250,32","36,95","19,58","4.377,59","32,92","20,84",53,,,,
Mandioca,"98,35","14,52","9,66","2.176,64","16,37","10,42",174,,,,
Milho-verde,"75,47","11,14","11,95","658,55","4,95","12,59",65,,,,
Coentro,"53,34","7,87","18,29","472,40","3,55","18,42",39,,,,
Brócolis - Cabeça Única,"22,45","3,31","5,37","347,85","2,62","5,43",27,,,,
Couve,"19,55","2,89","9,74","1.173,60","8,83","9,37",35,,,,
Cebolinha,"15,38","2,27","8,94","327,47","2,46","8,73",42,,,,
Brócolis - Ramoso,"12,10","1,79","7,72","350,20","2,63","7,50",18,,,,
Repolho,"6,49","0,96","1,85","307,30","2,31","1,74",14,,,,
Pimentão,"3,86","0,57","2,24","433,02","3,26","3,33",17,,,,
Jardim,"309,66","100,00","3,47","14.559,72","100,00","5,44",,,,,
Subtotal,"282,45","91,23",,"14.120,43","96,99",,,,,,
Cenoura,"65,00","20,99","35,60","2.498,00","17,16","41,41",16,,,,
Cebola,"59,00","19,05","18,52","5.540,00","38,05","19,33",7,,,,
Abóbora japonesa - Tetsukabut,"36,00","11,63","34,16","840,00","5,77","39,82",24,,,,
Tomate,"30,50","9,85","7,22","1.923,00","13,21","5,53",23,,,,
Beterraba,"29,00","9,37","17,78","870,00","5,98","19,79",11,,,,
Batata-doce,"22,25","7,19","10,98","418,00","2,87","9,18",21,,,,
Mandioca,"16,80","5,43","1,65","304,20","2,09","1,46",24,,,,
Repolho,"16,25","5,25","4,62","1.022,20","7,02","5,77",28,,,,
Pimentão,"5,55","1,79","3,23","558,15","3,83","4,29",13,,,,
Berinjela,"2,10","0,68","2,51","146,88","1,01","3,02",29,,,,
PAD-DF,"589,98",,"22.955,43",,,,,"100,00","6,62","100,00","8,57"
Subtotal,"511,91",,"21.491,05",,,,,"86,76",,"93,63",
Tomate,"165,20",,"12.243,70",,60.0,,,"28,00","39,11","53,34","35,21"
Milho doce,"130,00",,"1.700,00",,3.0,,,"22,03","99,01","7,41","98,92"
Cenoura,"41,00",,"1.300,00",,3.0,,,"6,95","22,46","5,66","21,55"
Cebola,"40,00",,"1.280,00",,1.0,,,"6,78","12,55","5,58","4,47"
Pepino,"33,95",,"1.340,30",,73.0,,,"5,75","36,98","5,84","41,30"
Mandioca,"32,72",,"651,24",,161.0,,,"5,55","3,21","2,84","3,12"
Alface,"25,44",,"420,98",,30.0,,,"4,31","1,99","1,83","2,00"
Pimentão,"21,45",,"1.395,55",,60.0,,,"3,64","12,47","6,08","10,73"
Repolho,"14,75",,"771,98",,29.0,,,"2,50","4,19","3,36","4,36"
Berinjela,"7,40",,"387,30",,33.0,,,"1,25","8,84","1,69","7,96"
Paranoá,"110,81",,"2.565,49",,,,,"100,00","1,24",100,"0,96"
Subtotal,"82,65",,"2.122,15",,,,,"74,59",,"82,71",
Alface,"16,99",,"222,08",,64.0,,,"15,33","1,33","8,66","1,06"
Milho-verde,"16,70",,"133,00",,20.0,,,"15,07","2,64","5,18","2,54"
Mandioca,"12,85",,"178,82",,76.0,,,"11,60","1,26","6,97","0,86"
Beterraba,"10,00",,"300,00",,2.0,,,"9,02","6,13","11,69","6,82"
Tomate,"8,95",,"687,50",,13.0,,,"8,08","2,12","26,80","1,98"
Quiabo,"7,00",,"103,50",,15.0,,,"6,32","5,24","4,03","4,82"
Pimentão,"4,86",,"265,25",,11.0,,,"4,39","2,82","10,34","2,04"
Repolho,"2,30",,"69,00",,7.0,,,"2,08","0,65","2,69","0,39"
Berinjela,"2,00",,"48,00",,8.0,,,"1,80","2,39","1,87","0,99"
Chuchu,"1,00",,"115,00",,4.0,,,"0,90","0,54","4,48","0,55"
Pipiripau,"449,85",,"12.283,47",,,,,"100,00","5,04","100,00","4,59"
Subtotal,"410,23",,"11.570,02",,,,,"91,19",,"94,19",
Batata,"315,00",,"7.875,00",,2.0,,,"70,02","97,06","64,11","96,67"
Mandioca,"31,00",,"552,94",,75.0,,,"6,89","3,04","4,50","2,65"
Tomate,"18,37",,"1.672,92",,36.0,,,"4,08","4,35","13,62","4,81"
Pimentão,"13,69",,"711,66",,48.0,,,"3,04","7,96","5,79","5,47"
Abóbora,"10,19",,"95,34",,39.0,,,"2,27","8,02","0,78","7,44"
Cenoura,"7,05",,"221,00",,3.0,,,"1,57","3,86","1,80","3,66"
Pepino,"6,52",,"199,20",,32.0,,,"1,45","7,10","1,62","6,14"
Abóbora italiana,"5,66",,"79,60",,25.0,,,"1,26","2,34","0,65","2,21"
Berinjela,"1,75",,"81,36",,13.0,,,"0,39","2,09","0,66","1,67"
Chuchu,"1,00",,"81,00",,5.0,,,"0,22","0,54","0,66","0,39"
Planaltina,"318,37",,"6.535,12",,,,,"100,00","3,57","100,00","2,44"
Subtotal,"250,08",,"5.352,30",,,,,"78,55",,"81,89",
Milho-verde,"104,48",,"639,86",,129.0,,,"32,82","16,54","9,79","12,23"
Mandioca,"73,22",,"2.018,60",,214.0,,,"23,00","7,19","30,89","9,67"
Batata-doce,"21,40",,"386,40",,52.0,,,"6,72","10,56","5,91","8,49"
Tomate,"14,73",,"1.100,00",,57.0,,,"4,63","3,49","16,83","3,16"
Alface,"14,40",,"257,64",,89.0,,,"4,52","1,13","3,94","1,23"
Cebolinha,"6,81",,"143,24",,49.0,,,"2,14","3,96","2,19","3,82"
Repolho,"5,90",,"244,20",,39.0,,,"1,85","1,68","3,74","1,38"
Pimentão,"3,61",,"156,25",,35.0,,,"1,13","2,10","2,39","1,20"
Chuchu,"3,59",,"295,40",,12.0,,,"1,13","1,94","4,52","1,42"
Couve,"1,94",,"110,71",,60.0,,,"0,61","0,96","1,69","0,88"
Rio Preto,"273,50",,"7.338,32",,,,,"100,00","3,07","100,00","2,74"
Subtotal,"206,95",,"6.103,57",,,,,"75,67",,"83,18",
Alho,"40,00",,"480,00",,3.0,,,"14,63","44,93","6,54","48,11"
Mandioca,"29,38",,"705,80",,57.0,,,"10,74","2,89","9,62","3,38"
Abóbora japonesa - Tetsukabut,"29,15",,"566,60",,18.0,,,"10,66","27,66","7,72","26,86"
Batata-doce,"28,08",,"686,68",,28.0,,,"10,27","13,86","9,36","15,09"
Beterraba,"18,90",,"558,60",,12.0,,,"6,91","11,59","7,61","12,71"
Abóbora,"18,43",,"213,14",,42.0,,,"6,74","14,50","2,90","16,63"
Tomate,"14,70",,"1.358,00",,56.0,,,"5,37","3,48","18,51","3,91"
Pimentão,"12,04",,"847,25",,44.0,,,"4,40","7,00","11,55","6,51"
Cenoura,"10,10",,"351,00",,9.0,,,"3,69","5,53","4,78","5,82"
Repolho,"6,17",,"336,50",,27.0,,,"2,26","1,75","4,59","1,90"
São Sebastião,"269,38",,"21.998,36",,,,,"100,00","3,02","100,00","8,21"
Subtotal,"256,70",,"21.812,12",,,,,"95,30",,"99,14",
Cebola,"210,30",,"21.006,00",,5.0,,,"78,07","66,00","95,49","73,30"
Mandioca,"26,43",,"436,46",,270.0,,,"9,81","2,60","1,98","2,09"
Alface,"5,94",,"75,55",,52.0,,,"2,21","0,46","0,34","0,36"
Abóbora,"5,27",,"42,12",,32.0,,,"1,95","4,14","0,19","3,29"
Morango,"4,26",,"102,24",,13.0,,,"1,58","2,41","0,46","1,55"
Quiabo,"1,56",,"20,69",,25.0,,,"0,58","1,16","0,09","0,96"
Couve,"1,18",,"49,06",,46.0,,,"0,44","0,59","0,22","0,39"
Tomate,"0,72",,"40,00",,17.0,,,"0,27","0,17","0,18","0,12"
Agrião,"0,70",,"21,00",,6.0,,,"0,26","0,94","0,10","0,91"
Repolho,"0,35",,"19,00",,11.0,,,"0,13","0,10","0,09","0,11"
Sobradinho,"745,42",,"20.429,13",,,,,"100,00","8,36","100,00","7,63"
Subtotal,"446,89",,"15.089,80",,,,,"59,95",,"73,86",
Mandioca,"156,71",,"3.054,86",,221.0,,,"21,02","15,39","14,95","14,63"
Alface,"150,70",,"2.572,50",,120.0,,,"20,22","11,79","12,59","12,25"
Repolho,"41,50",,"2.500,00",,40.0,,,"5,57","11,80","12,24","14,12"
Brócolis - Ramoso,"20,50",,"628,00",,24.0,,,"2,75","13,08","3,07","13,44"
Tomate,"19,00",,"1.788,00",,28.0,,,"2,55","4,50","8,75","5,14"
Couve,"18,37",,"1.200,44",,50.0,,,"2,46","9,15","5,88","9,59"
Couve-flor,"15,00",,"486,00",,14.0,,,"2,01","10,99","2,38","13,16"
Berinjela,"12,00",,"888,00",,28.0,,,"1,61","14,33","4,35","18,25"
Pimentão,"8,82",,"1.314,00",,34.0,,,"1,18","5,13","6,43","10,10"
Chuchu,"4,30",,"658,00",,13.0,,,"0,58","2,32","3,22","3,16"
Tabatinga,"126,18",,"4.279,25",,,,,"100,00","1,41","100,00","1,60"
Subtotal,"74,10",,"3.226,50",,,,,"58,73",,"75,42",
Batata-doce,"19,50",,"555,00",,12.0,,,"15,45","9,62","12,97","12,20"
Mandioca,"13,50",,"356,00",,9.0,,,"10,70","1,33","8,32","1,70"
Cenoura,"8,00",,"320,00",,6.0,,,"6,34","4,38","7,48","5,30"
Cebola,"7,00",,"700,00",,2.0,,,"5,55","2,20","16,36","2,44"
Abóbora japonesa - Tetsukabut,"6,10",,"142,00",,8.0,,,"4,83","5,79","3,32","6,73"
Beterraba,"6,00",,"240,00",,3.0,,,"4,76","3,68","5,61","5,46"
Jiló,"5,50",,"148,50",,4.0,,,"4,36","5,57","3,47","5,56"
Repolho,"5,00",,"275,00",,6.0,,,"3,96","1,42","6,43","1,55"
Chuchu,"2,00",,"340,00",,1.0,,,"1,59","1,08","7,95","1,63"
Tomate,"1,50",,"150,00",,1.0,,,"1,19","0,36","3,51","0,43"
Taquara,"328,79",,"11.409,75",,,,,"100,00","3,69","100,00","4,26"
Subtotal,"213,05",,"9.403,14",,,,,"64,80",,"82,42",
Mandioca,"50,88",,"1.070,12",,62.0,,,"15,48","5,00","9,38","5,12"
